id,type,name,concat,house_number,postcode,lat,lon
l1,restaurant,Strandlust,s9506,3a,12527,52.3762307,13.657224
l2,cafe,coffee point,s8310,7,10969,52.5043808,13.3906826
l3,cafe,La Boom,s199,146,12629,52.5467225,13.5926139
l4,restaurant,Panther,s10979,119,10997,52.500815,13.4299066
l5,cafe,Café Juli's,s7065,21,10405,52.5304718,13.4185069
l6,hotel,Midi Inn,s10871,10,10119,52.533001,13.401672
l8,pub,The Happy Pig,s6296,1,10245,52.5066728,13.4679738
l9,hostel,BackpackerBerlin,s5773,10,10245,52.5087811,13.4622961
l10,restaurant,Fischschuppen,s1626,68,10245,52.5064646,13.4700069
l11,restaurant,Supreme Burger Grill & Bar,s7716,26,10117,52.5245121,13.3953134
l12,restaurant,Song Lam 37,s10293,64,10555,52.5252716,13.3424288
l13,pub,Dresden,s2386,19,10999,52.501598,13.4166474
l14,restaurant,Taverna Apollon,s2176,72,10435,52.5390272,13.4237353
l15,restaurant,Gorki Park,s11269,25,10119,52.530593,13.4017208
l16,bar,Bar Tausend,s9153,11,10117,52.5208236,13.3847097
l17,cafe,Florida Eiscafé,s264,1,13597,52.5354419,13.1991972
l18,restaurant,El Colmado,s5220,10,10719,52.5028689,13.3307134
l19,hotel,Select Hotel Berlin Gendarmenmarkt,s1994,66,10117,52.5106118,13.3915889
l20,restaurant,Sai Baba,s8616,75,10247,52.5164038,13.4655673
l21,bar,Jazz Club Schlot,s9194,26,10115,52.5301264,13.3852793
l22,pub,Schillerklause,s550,1,10625,52.5111959,13.3183583
l23,hotel,Melarose,s3938,199,10405,52.5341399,13.4302131
l24,nightclub,Caribic Modelle,s7749,110,13359,52.555462,13.38507
l25,cafe,Les Pâtisseries de Sébastien,s5122,157,10115,52.5323549,13.396964
l26,restaurant,Steakhaus Stampedo,s3335,44,13156,52.5839355,13.3911356
l27,bar,XXL Cruising-Club,s1590,7,10439,52.554228,13.4120945
l28,restaurant,Taiwanesische Bauernstube,s7233,,10587,52.5213602,13.322471
l29,bar,Timber Doodle Bar,s11671,37,10245,52.509129,13.458883
l30,cafe,Cafe Aedes,s1464,5a,10623,52.5056639,13.3198539
l31,nightclub,Triplex Club,s3236,98,10247,52.5136642,13.4727613
l32,restaurant,Sonora,s6027,41,10627,52.507743,13.3092047
l33,cafe,ostPost,s2012,84,10119,52.531,13.405692
l34,restaurant,lemongrass,s8326,45,10589,52.523416,13.3071209
l35,cafe,Cupcake,s6004,12,10245,52.5107534,13.4578148
l36,restaurant,Ulrichs,s5405,11,10787,52.5017525,13.352994
l37,pub,Mittendrin,s7991,83,10627,52.5077469,13.3086505
l38,hotel,Hotel Fortuna,s5151,20,13086,52.5552853,13.4343472
l39,hotel,Hotel AI Königshof,s10314,7,10627,52.5057392,13.3044971
l40,cafe,Café Laelia,s3938,50,10405,52.5370584,13.4345124
l41,bar,Cento Passi,s6004,34,10245,52.5093544,13.464978
l42,cafe,Plötners Cafe,s813,11,10369,52.5293019,13.4705843
l43,pub,FLAX,s2010,41,10405,52.5358364,13.4311032
l44,cafe,Café Cutie,s2469,5,10437,52.5407901,13.4061691
l45,bar,Kapitel 21,s6280,55,10557,52.5341997,13.3586574
l46,hostel,Umweltzentrum Fuchsbau,s762,171,12459,52.46600615,13.544203712757252
l47,bar,Berliner-Pilsner-Stübchen,s8111,90,13086,52.5562706,13.4359469
l48,pub,Cafe Cox,s10981,29,10551,52.5284066,13.336155
l49,bar,Reingold,s7617,11,10115,52.528723,13.3882109
l50,cafe,Nö!,s3751,23,10117,52.5133352,13.386262
l51,pub,Nemo,s7658,46,10435,52.5391325,13.4077406
l52,restaurant,Mine Restaurant,s6981,10,10719,52.5007495,13.3286752
l53,restaurant,Orthos Café-Restaurant,s806,17 19,10787,52.5030498,13.3428978
l54,restaurant,Zeus,s19,54,13125,52.6178319,13.4870119
l55,cafe,Seidenfaden,s2276,47,10178,52.5235463,13.4051151
l56,restaurant,Sakura IV,s6091,126,10785,52.5024318,13.3511323
l57,bar,Bänsch,s1063,79,10247,52.5175464,13.4701757
l58,nightclub,Nuke Club,s8011,17a,10247,52.5183382,13.471725
l59,restaurant,Trattoria da Ciro,s9376,47,13509,52.5839059,13.302783
l60,restaurant,La Cesta,s541,1,10245,52.5027778,13.4546413
l61,hotel,City Guesthouse Pension Berlin,s3738,24,10437,52.5473923,13.4110617
l62,hotel,Pankow,s7914,14 15,13127,52.5852456,13.4286973
l63,cafe,Eisstübchen Madlen,s7658,31,10435,52.5404253,13.4052762
l64,restaurant,Palermo,s2903,160,13088,52.5559582,13.4778053
l65,nightclub,Puro Sky Lounge Berlin,s10414,9 12,10789,52.5040556,13.3379413
l66,restaurant,Burgermeister,s9325,45,10435,52.5406137,13.4125287
l67,restaurant,Kim Mami,s11708,31,13469,52.6097807,13.3295938
l68,pub,La Vida,s2153,,10711,52.5011056,13.2982428
l69,restaurant,Lisboa Bar am Boxi,s6004,20,10245,52.5103361,13.4591198
l70,cafe,Fürst & Iven Autorenbuchhandlung,s2691,601,10623,52.5051356,13.3207985
l2934,pub,Dogma,s5757,96,10435,52.5400295,13.4146772
l71,restaurant,Tizian im Grand Hyatt,s6862,2,10785,52.5081095,13.3723121
l72,restaurant,Esszimmer,s9110,28 29,10115,52.5335662,13.370967
l73,restaurant,Pizzeria da Peppe,s2912,262,13583,52.5472174,13.1849656
l74,pub,Scotch & Sofa,s5811,18,10405,52.5327249,13.4143642
l75,museum,Museum Pankow,s4696,8,13187,52.5642198,13.4024579
l76,cafe,Cafe Bar Istanbul,s10736,54,10551,52.5273143,13.3312151
l77,restaurant,Enzian Bayrisches Wirtshaus,s463,6a,10117,52.5201139,13.3954523
l78,restaurant,La Bandida,s6207,144,13086,52.5491969,13.4482471
l79,restaurant,Noumi,s5165,35,10117,52.5143727,13.3976164
l80,bar,Kürbiskern Zauberbar,s5877,23,10245,52.5103553,13.4543954
l81,restaurant,Giannis Pasta-Bar,s9325,186a,10119,52.5294717,13.4097836
l82,restaurant,DDR-Restaurant Domklause,s5411,1,10178,52.5192895,13.4023178
l83,restaurant,Hirsch & Hase,s1771,73,13355,52.5418972,13.3935618
l84,restaurant,Thulicious,s5811,56,10405,52.5350976,13.4170552
l85,cafe,Macondo,s3522,14,10245,52.5107813,13.4610674
l86,restaurant,Zur Rose,s11269,26,10119,52.5304841,13.4016448
l87,restaurant,Pho Cong,s5811,89,10435,52.5385147,13.4201146
l88,cafe,Café Bleibtreu,s1464,45,10623,52.50405,13.320001
l89,restaurant,Repke Spätzlerei,s1464,46,10623,52.5042655,13.3200298
l90,restaurant,kouzina,s2691,597,10623,52.5050659,13.3213179
l91,restaurant,Bambus am See,s1254,126,13088,52.5505611,13.4618751
l92,nightclub,Vagabund Club,s5764,77,10623,52.5040624,13.3223978
l93,restaurant,Katz Orange,s1242,22,10115,52.5315227,13.3953241
l94,bar,Bar96,s6282,43,10629,52.504227,13.313787
l95,pub,Café Kulturfabrik,s6280,35,10557,52.5341991,13.3592766
l96,restaurant,Huong Lua,s1994,76,10117,52.5087983,13.3919174
l97,restaurant,Sy,s1692,33,13597,52.5379472,13.2067289
l98,cafe,Outgrow Coffee,s5383,134b,10625,52.5059664,13.316565
l99,pub,Höher's Gaststuben,s8565,1,10437,52.5475458,13.4100101
l100,restaurant,Christopher's,s7202,63,10629,52.5029905,13.3162697
l101,hotel,Myer's Hotel,s7065,26,10405,52.5312795,13.4178789
l102,cafe,Café Butter,s7858,73,10437,52.5439586,13.4151937
l103,hotel,Les Nations,s11813,6,10555,52.5234094,13.3319791
l104,restaurant,Schadé,s10430,23,13353,52.5421216,13.3573329
l105,cafe,Edel & Faul,s10871,16,10119,52.5335102,13.40222
l106,museum,Ausstellungen in der Kleinen Orangerie am Schloss Charlottenburg,s9765,22,14059,52.5199022,13.2936163
l107,cafe,Soledor Café,s4941,18,10407,52.5317262,13.4319571
l108,pub,Rock'n'Roll Herberge,s7327,11,10997,52.5016339,13.4313397
l109,nightclub,Grüner Salon,s8877,9,10178,52.5269462,13.4122202
l110,cafe,Eiscafé Surprise,s6207,136,13086,52.5499137,13.4460153
l111,restaurant,Delizie D. ´Italia,s5811,100,10435,52.5390024,13.4213372
l112,restaurant,Sagano,s6086,182,10707,52.5000577,13.3134952
l113,cafe,Backshop Cafe am Deutschen Theater,s8499,27,10117,52.5229855,13.3828675
l114,restaurant,Sage Restaurant,s5874,18 20,10997,52.5062898,13.4330387
l115,pub,Atlas,s2595,4,10997,52.5018079,13.4321975
l116,restaurant,Cancún,s8411,5 13,10178,52.5190761,13.4094442
l117,cafe,Milchmanns,s1258,119,13187,52.568189,13.4124173
l118,restaurant,Fresh & Easy,s7991,26,10627,52.5079903,13.3085893
l119,restaurant,papaya,s5383,122,10625,52.5063245,13.3103675
l120,restaurant,QBA,s9239,,10629,52.5034705,13.3174241
l121,restaurant,Gangnam Korean Chicken,s7381,45,13347,52.5488631,13.3608179
l122,biergarten,Fass'l Schänke,s7718,196,13437,52.5951687,13.3327612
l123,restaurant,Vaust,s7991,8,10625,52.507684,13.3185313
l124,restaurant,Lubitsch,s1464,47,10623,52.5044418,13.3200457
l125,restaurant,Orlando Gourmet Street Food,s8565,10,10437,52.5481792,13.4096369
l126,biergarten,republik-berlin,s5874,74,10179,52.510887,13.4173873
l127,hotel,Hotel Comenius,s4043,22,10243,52.5124379,13.4505118
l128,restaurant,leo e pepe,s1368,16,13189,52.5633708,13.4194058
l129,cafe,Café am See,s8530,43,13409,52.5652664,13.3628164
l130,restaurant,Zum Bayernmichel,s1590,87,10439,52.5536186,13.4107657
l131,hostel,Jugendgästehaus Hauptbahnhof,s6280,68,10557,52.5269425,13.3621018
l132,restaurant,Hugo & Notte,s3581,5,10117,52.5141922,13.3919267
l133,restaurant,La Famiglia,s8112,2,13086,52.5504924,13.4582409
l134,bar,EscoBar,s3938,191,10405,52.5357255,13.43204
l135,cafe,Ella,s2621,9,10555,52.523124,13.3359021
l136,hotel,Hotel Askanischer Hof,s6086,53,10707,52.5013082,13.3158842
l137,cafe,Paletas,s11671,26,10245,52.5093057,13.4591467
l138,pub,Zur Linde,s9753,97,14059,52.5168207,13.2875442
l139,restaurant,Berlin Moscow,s10800,52,10117,52.5170512,13.3847237
l140,pub,Metzer Eck,s7065,33,10405,52.5317831,13.4162151
